E [MeV]	dEdx [keV/microm]
0.00533949	69.0626
0.00537032	69.2588
0.00540132	69.4556
0.0054325	69.6529
0.00546387	69.8508
0.00549541	70.0493
0.00552713	70.2483
0.00555904	70.4479
0.00559114	70.6482
0.00562341	70.8489
0.00565588	71.0503
0.00568853	71.2523
0.00572137	71.4548
0.0057544	71.658
0.00578762	71.8617
0.00582103	72.066
0.00585464	72.271
0.00588844	72.4764
0.00592243	72.6826
0.00595662	72.8893
0.00599101	73.0966
0.0060256	73.3046
0.00606038	73.5131
0.00609537	73.7222
0.00613056	73.932
0.00616595	74.1423
0.00620155	74.3533
0.00623735	74.5649
0.00627336	74.7771
0.00630957	74.9899
0.006346	75.2033
0.00638263	75.4174
0.00641948	75.6321
0.00645654	75.8474
0.00649382	76.0633
0.00653131	76.2799
0.00656901	76.4971
0.00660693	76.715
0.00664508	76.9334
0.00668344	77.1525
0.00672202	77.3723
0.00676083	77.5927
0.00679986	77.8137
0.00683912	78.0354
0.0068786	78.2577
0.00691831	78.4807
0.00695825	78.7043
0.00699842	78.9286
0.00703882	79.1243
0.00707946	79.3016
0.00712033	79.4795
0.00716143	79.6581
0.00720278	79.8373
0.00724436	80.0171
0.00728618	80.1975
0.00732825	80.3786
0.00737055	80.5603
0.0074131	80.7426
0.0074559	80.9256
0.00749894	81.1091
0.00754223	81.2934
0.00758578	81.4782
0.00762957	81.6637
0.00767361	81.8497
0.00771792	82.0364
0.00776247	82.2238
0.00780728	82.4117
0.00785236	82.6003
0.00789769	82.7895
0.00794328	82.9793
0.00798914	83.1698
0.00803526	83.3609
0.00808165	83.5525
0.00812831	83.7449
0.00817523	83.9379
0.00822243	84.1314
0.0082699	84.3256
0.00831764	84.5204
0.00836566	84.7159
0.00841395	84.9119
0.00846253	85.1086
0.00851138	85.3059
0.00856052	85.5039
0.00860994	85.7027
0.00865964	85.9017
0.00870964	86.1018
0.00875992	86.3022
0.00881049	86.5033
0.00886135	86.7051
0.00891251	86.9072
0.00896396	87.1103
0.00901571	87.3066
0.00906776	87.445
0.00912011	87.5838
0.00917276	87.7232
0.00922571	87.8632
0.00927897	88.0036
0.00933254	88.1449
0.00938642	88.2865
0.00944061	88.4291
