Fluence to dose conversion factor calculated on a slab of Tissue with size 10x10x0.5 mm^3 for primary neutron
E [MeV]	c [microGy*cm^2]
2.96869	3.29735e-05
3.07302	3.4354e-05
3.18101	3.34956e-05
3.2928	3.4827e-05
3.40851	3.96307e-05
3.52829	3.72897e-05
3.65229	3.52554e-05
3.78064	3.9197e-05
3.91349	3.53426e-05
4.05102	3.3612e-05
4.19339	3.71836e-05
4.34075	3.66058e-05
4.49329	3.16812e-05
4.6512	3.36146e-05
4.81465	3.25941e-05
4.98385	3.12862e-05
5.15899	3.36056e-05
5.34029	3.15187e-05
5.52796	2.82184e-05
5.72222	2.83328e-05
5.92331	2.73657e-05
6.13147	2.58615e-05
6.34695	2.88159e-05
6.56999	2.68846e-05
6.80087	2.47921e-05
7.03987	2.61528e-05
7.28727	2.88814e-05
7.54336	2.83867e-05
7.80845	2.6591e-05
8.08285	2.59255e-05
8.3669	2.26464e-05
8.66093	2.60179e-05
8.9653	2.39647e-05
9.28036	2.23119e-05
9.60649	2.30085e-05
9.94408	2.65507e-05
10.2935	2.37111e-05
10.6553	2.21903e-05
11.0297	2.42521e-05
11.4173	2.87079e-05
11.8186	2.78051e-05
12.2339	2.04946e-05
12.6638	2.47979e-05
13.1089	2.61615e-05
13.5695	2.74024e-05
14.0464	2.53607e-05
14.54	2.52558e-05
15.051	2.51194e-05
15.5799	2.75966e-05
16.1274	2.38322e-05
16.6942	2.36526e-05
17.2808	2.37323e-05
17.8881	2.29924e-05
18.5167	2.26979e-05
19.1675	2.52476e-05
19.8411	2.30111e-05
20.5383	3.09003e-05
21.2601	2.77463e-05
22.0072	2.74715e-05
22.7806	2.90791e-05
23.5811	3.00048e-05
24.4098	2.73021e-05
25.2676	2.12227e-05
26.1556	3.05933e-05
27.0748	2.68703e-05
28.0262	2.74241e-05
29.0111	2.12926e-05
30.0307	2.51731e-05
31.086	3.03743e-05
32.1784	2.79376e-05
33.3092	2.23771e-05
34.4798	1.25929e-05
35.6915	1.90921e-05
36.9458	1.31875e-05
38.2441	1.84718e-05
39.5881	1.60316e-05
40.9793	2.04541e-05
42.4194	1.42223e-05
43.9101	1.70411e-05
45.4532	1.22153e-05
47.0506	1.51066e-05
48.704	1.49681e-05
50.4156	1.42219e-05
52.1873	1.16519e-05
54.0213	2.04864e-05
55.9197	1.16025e-05
57.8848	1.35521e-05
59.919	8.72481e-06
62.0247	1.38279e-05
64.2044	1.02568e-05
66.4607	1.5753e-05
68.7962	1.01187e-05
71.2139	1.64741e-05
73.7165	1.48943e-05
76.3071	1.39739e-05
78.9887	1.83028e-05
81.7645	1.28297e-05
84.6379	1.44176e-05
87.6122	1.35581e-05
90.6911	1.25319e-05
93.8782	1.62466e-05
97.1773	1.71297e-05
100.592	1.42549e-05
104.127	1.71533e-05
107.787	1.15099e-05
111.574	1.9997e-05
115.495	1.39944e-05
119.554	1.12664e-05
123.756	1.78891e-05
128.105	9.08578e-06
132.606	1.12826e-05
137.267	1.25852e-05
142.09	1.17786e-05
147.084	1.28528e-05
152.253	1.0867e-05
157.603	1.34783e-05
163.142	2.29975e-05
168.875	1.33224e-05
174.809	1.44486e-05
180.953	1.32056e-05
187.312	1.36062e-05
193.894	1.33006e-05
200.708	1.29768e-05
207.761	1.46401e-05
215.063	1.46896e-05
222.62	1.79593e-05
230.444	1.36366e-05
238.542	1.18312e-05
246.925	1.24447e-05
255.602	1.03429e-05
264.585	8.52509e-06
273.883	1.09011e-05
283.508	1.32105e-05
293.471	1.18352e-05
303.784	1.53849e-05
314.46	1.81524e-05
325.51	1.60954e-05
336.949	1.18409e-05
348.791	1.1979e-05
361.048	9.84137e-06
373.736	1.55885e-05
386.87	1.44389e-05
400.465	1.36021e-05
414.538	1.64999e-05
429.106	1.31292e-05
444.186	8.89546e-06
459.796	1.03081e-05
475.954	1.37102e-05
492.68	1.50142e-05
509.994	1.67347e-05
527.916	1.24243e-05
546.468	1.42433e-05
565.672	1.43666e-05
585.551	1.24713e-05
606.129	1.36822e-05
627.429	1.75141e-05
649.478	1.38029e-05
672.303	1.14239e-05
695.929	2.1601e-05
720.385	2.00949e-05
745.701	1.36321e-05
771.907	1.80659e-05
799.033	2.12919e-05
827.113	1.70886e-05
856.179	2.09888e-05
886.267	1.90973e-05
917.413	1.26996e-05
949.653	1.99633e-05
983.025	1.69478e-05
1017.57	1.80889e-05
1053.33	2.7993e-05
1090.35	1.48738e-05
1128.66	1.5833e-05
1168.33	2.60764e-05
1209.39	1.2744e-05
1251.89	1.5246e-05
1295.88	1.62934e-05
1341.42	1.70549e-05
1388.56	1.29819e-05
1437.36	1.7025e-05
1487.87	1.71418e-05
1540.16	2.03304e-05
1594.28	2.16271e-05
1650.31	1.83912e-05
1708.3	1.7199e-05
1768.34	1.48191e-05
1830.48	1.86156e-05
1894.81	1.55299e-05
1961.39	1.63301e-05
2030.32	2.30128e-05
2101.67	2.04947e-05
2175.53	1.41866e-05
2251.98	1.06299e-05
2331.12	1.50247e-05
2413.04	1.35215e-05
2497.84	1.65606e-05
2585.62	2.28119e-05
2676.48	1.81059e-05
2770.54	2.1095e-05
2867.9	1.56023e-05
2968.69	1.419e-05
3073.02	2.95883e-05
3181.01	1.87019e-05
3292.8	1.32872e-05
3408.51	2.03302e-05
3528.29	2.38172e-05
3652.29	1.22588e-05
3780.64	1.4708e-05
3913.49	2.31571e-05
4051.02	1.55774e-05
4193.39	1.90834e-05
4340.75	1.87808e-05
4493.29	2.78431e-05
4651.2	2.41158e-05
4814.65	1.87123e-05
4983.85	2.18554e-05
5158.99	2.22986e-05
5340.29	1.7041e-05
5527.96	2.24203e-05
5722.22	1.3203e-05
5923.31	1.56141e-05
6131.47	1.6956e-05
6346.95	1.37028e-05
6569.99	1.93166e-05
6800.87	1.76509e-05
7039.87	1.6289e-05
7287.27	1.43675e-05
7543.36	1.98933e-05
7808.45	1.72002e-05
8082.85	2.36987e-05
8366.9	2.00952e-05
8660.93	1.39487e-05
8965.3	1.46818e-05
9280.36	1.65134e-05
9606.49	1.46238e-05
9944.08	4.27601e-06
10293.5	1.04409e-06
10655.3	1.45532e-06
11029.7	2.40616e-06
11417.3	1.84817e-06
11818.6	1.24771e-06
12233.9	3.04484e-06
12663.8	3.40691e-06
13108.9	1.67165e-06
13569.5	2.09626e-06
14046.4	3.83574e-06
14540	3.69933e-06
15051	2.7907e-06
15579.9	3.97715e-06
16127.4	5.31571e-06
16694.2	4.6404e-06
17280.8	5.78974e-06
17888.1	9.05505e-06
18516.7	6.11593e-06
19167.5	1.13046e-05
19841.1	1.05668e-05
20538.3	1.0798e-05
21260.1	8.94477e-06
22007.2	1.72387e-05
22780.6	1.55245e-05
23581.1	2.20506e-05
24409.8	1.3188e-05
25267.6	1.3702e-05
26155.6	2.25848e-05
27074.8	1.66302e-05
28026.2	2.02927e-05
29011.1	2.51075e-05
30030.7	1.2582e-05
31086	1.90505e-05
32178.4	1.9572e-05
33309.2	1.9677e-05
34479.8	1.91487e-05
35691.5	2.28462e-05
36945.8	2.39744e-05
38244.1	2.08092e-05
39588.1	2.16093e-05
40979.3	2.28756e-05
42419.4	2.63883e-05
43910.1	2.40636e-05
45453.2	2.88354e-05
47050.6	2.56443e-05
48704	1.70317e-05
50415.6	2.42572e-05
52187.3	2.79071e-05
54021.3	2.44555e-05
55919.7	2.47747e-05
57884.8	2.76896e-05
59919	2.96221e-05
62024.7	2.07415e-05
64204.4	2.00297e-05
66460.7	3.42318e-05
68796.2	2.31247e-05
71213.9	2.72305e-05
73716.5	2.02807e-05
76307.1	2.75164e-05
78988.7	2.81868e-05
81764.5	1.77321e-05
84637.9	2.66968e-05
87612.2	1.98193e-05
90691.1	2.22518e-05
93878.2	2.64386e-05
97177.3	2.90533e-05
100592	1.51931e-05
104127	2.60255e-05
107787	2.97978e-05
111574	2.50304e-05
115495	1.95338e-05
119554	2.80951e-05
123756	2.06338e-05
128105	2.38816e-05
132606	2.79363e-05
137267	3.32958e-05
142090	4.1531e-05
147084	2.21279e-05
152253	2.29551e-05
157603	3.34116e-05
163142	2.01273e-05
168875	2.96891e-05
174809	2.46567e-05
180953	2.33814e-05
187312	2.23589e-05
193894	1.99954e-05
200708	3.45266e-05
207761	3.55664e-05
215063	2.02135e-05
222620	2.99252e-05
230444	2.33112e-05
238542	2.84668e-05
246925	1.38842e-05
255602	3.34424e-05
264585	3.37263e-05
273883	2.61238e-05
283508	2.76824e-05
293471	3.3689e-05
303784	4.07235e-05
314460	3.36171e-05
325510	3.9158e-05
336949	3.75382e-05
348791	3.28425e-05
361048	2.68173e-05
373736	3.56963e-05
386870	2.76253e-05
400465	2.35378e-05
414538	3.86053e-05
429106	3.24751e-05
444186	3.6043e-05
459796	3.52585e-05
475954	2.60912e-05
492680	4.4568e-05
509994	2.63605e-05
527916	5.1517e-05
546468	3.03175e-05
565672	4.17637e-05
585551	3.4831e-05
606129	3.29701e-05
627429	4.0882e-05
649478	3.06834e-05
672303	3.88888e-05
695929	4.89121e-05
720385	4.69176e-05
745701	3.32149e-05
771907	3.33767e-05
799033	4.35031e-05
827113	3.13597e-05
856179	3.91909e-05
886267	3.50972e-05
917413	4.27498e-05
949653	4.15499e-05
983025	3.76198e-05
