Fluence to dose conversion factor calculated on a slab of Si with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
2.96869	5.02562e-07
3.07302	4.41552e-07
3.18101	4.91884e-07
3.2928	4.89209e-07
3.40851	4.39437e-07
3.52829	4.46874e-07
3.65229	4.52689e-07
3.78064	4.28049e-07
3.91349	5.03678e-07
4.05102	3.78336e-07
4.19339	3.49874e-07
4.34075	4.47581e-07
4.49329	4.48364e-07
4.6512	3.67754e-07
4.81465	3.97244e-07
4.98385	4.19933e-07
5.15899	3.37427e-07
5.34029	3.85547e-07
5.52796	3.94756e-07
5.72222	3.22962e-07
5.92331	3.19164e-07
6.13147	3.69339e-07
6.34695	3.15968e-07
6.56999	3.31621e-07
6.80087	3.15843e-07
7.03987	3.77552e-07
7.28727	3.33546e-07
7.54336	3.3811e-07
7.80845	3.48504e-07
8.08285	3.16467e-07
8.3669	3.15962e-07
8.66093	3.1221e-07
8.9653	3.12281e-07
9.28036	3.40556e-07
9.60649	3.02155e-07
9.94408	3.10762e-07
10.2935	2.86543e-07
10.6553	3.02171e-07
11.0297	3.09173e-07
11.4173	3.46319e-07
11.8186	2.9093e-07
12.2339	3.20758e-07
12.6638	3.83607e-07
13.1089	3.02831e-07
13.5695	3.29619e-07
14.0464	3.24367e-07
14.54	3.32399e-07
15.051	3.46236e-07
15.5799	4.43609e-07
16.1274	4.90065e-07
16.6942	3.77979e-07
17.2808	4.1633e-07
17.8881	5.01223e-07
18.5167	6.30007e-07
19.1675	6.27477e-07
19.8411	8.17995e-07
20.5383	8.6275e-07
21.2601	5.23999e-07
22.0072	8.10188e-07
22.7806	9.8327e-07
23.5811	4.84704e-07
24.4098	6.33141e-07
25.2676	5.33485e-07
26.1556	6.08705e-07
27.0748	7.03802e-07
28.0262	5.25885e-07
29.0111	6.40971e-07
30.0307	3.95509e-07
31.086	4.34519e-07
32.1784	3.83496e-07
33.3092	4.55315e-07
34.4798	5.36678e-07
35.6915	4.24574e-07
36.9458	4.93535e-07
38.2441	3.93994e-07
39.5881	6.01931e-07
40.9793	3.34891e-07
42.4194	4.36023e-07
43.9101	6.50155e-07
45.4532	5.43722e-07
47.0506	3.6632e-07
48.704	3.82178e-07
50.4156	3.72633e-07
52.1873	3.87608e-07
54.0213	6.25104e-07
55.9197	7.09743e-07
57.8848	6.02744e-07
59.919	3.97058e-07
62.0247	3.63188e-07
64.2044	4.43824e-07
66.4607	3.59631e-07
68.7962	4.2614e-07
71.2139	3.91795e-07
73.7165	5.58743e-07
76.3071	4.97769e-07
78.9887	4.30851e-07
81.7645	7.02682e-07
84.6379	4.14168e-07
87.6122	4.27958e-07
