Fluence to dose conversion factor calculated on a slab of Water with size 10x10x0.5 mm^3 for primary gamma
E [MeV]	c [microGy*cm^2]
2.96869	3.40803e-07
3.07302	2.04309e-07
3.18101	2.45401e-07
3.2928	2.53763e-07
3.40851	2.3659e-07
3.52829	2.25368e-07
3.65229	2.12461e-07
3.78064	2.28326e-07
3.91349	1.93559e-07
4.05102	1.55336e-07
4.19339	1.67726e-07
4.34075	1.75781e-07
4.49329	1.92735e-07
4.6512	2.14652e-07
4.81465	1.94725e-07
4.98385	1.83271e-07
5.15899	1.50392e-07
5.34029	1.7577e-07
5.52796	1.56867e-07
5.72222	2.06406e-07
5.92331	1.59713e-07
6.13147	1.57035e-07
6.34695	1.19087e-07
6.56999	1.51107e-07
6.80087	1.4975e-07
7.03987	1.6558e-07
7.28727	1.41879e-07
7.54336	1.45364e-07
7.80845	1.42759e-07
8.08285	1.01331e-07
8.3669	1.43153e-07
8.66093	1.45628e-07
8.9653	1.44947e-07
9.28036	1.44114e-07
9.60649	1.22537e-07
9.94408	1.36081e-07
10.2935	1.20389e-07
10.6553	1.20485e-07
11.0297	1.3712e-07
11.4173	1.09042e-07
11.8186	1.18531e-07
12.2339	1.00887e-07
12.6638	1.11742e-07
13.1089	1.53069e-07
13.5695	1.36563e-07
14.0464	2.87053e-07
14.54	1.08195e-07
15.051	9.75049e-08
15.5799	1.05175e-07
16.1274	1.45846e-07
16.6942	1.09207e-07
17.2808	1.07596e-07
17.8881	3.81304e-07
18.5167	3.45793e-07
19.1675	4.75111e-07
19.8411	4.81941e-07
20.5383	1.68531e-07
21.2601	2.55047e-07
22.0072	1.0699e-06
22.7806	7.20571e-07
23.5811	6.37381e-07
24.4098	2.30972e-07
25.2676	6.63577e-07
26.1556	2.86736e-07
27.0748	8.68007e-07
28.0262	9.79665e-07
29.0111	1.97035e-07
30.0307	4.38456e-07
31.086	1.43025e-07
32.1784	1.45962e-07
33.3092	2.78423e-07
34.4798	2.79893e-07
35.6915	1.10677e-07
36.9458	3.69516e-07
38.2441	1.00837e-07
39.5881	9.3345e-08
40.9793	9.20182e-08
42.4194	1.43213e-06
43.9101	1.96221e-07
45.4532	1.59387e-07
47.0506	1.17106e-07
48.704	3.70064e-07
50.4156	1.06083e-07
52.1873	1.28085e-07
54.0213	1.27581e-07
55.9197	1.34953e-07
57.8848	1.24292e-07
59.919	1.23008e-07
62.0247	1.11689e-07
64.2044	1.13116e-07
66.4607	1.31574e-07
68.7962	1.32903e-07
71.2139	1.25716e-07
73.7165	3.18452e-07
76.3071	1.25379e-07
78.9887	1.37055e-07
81.7645	1.21058e-07
84.6379	1.49999e-07
87.6122	1.79122e-07
90.6911	1.11885e-07
93.8782	2.00167e-07
97.1773	1.28513e-07
100.592	1.61293e-07
104.127	1.20813e-07
107.787	1.30628e-07
111.574	1.47462e-07
115.495	1.31411e-07
119.554	5.05245e-07
123.756	1.18697e-07
128.105	1.38372e-07
132.606	1.19304e-07
137.267	1.7652e-07
142.09	1.33375e-07
147.084	3.66196e-07
152.253	1.52685e-07
157.603	1.8265e-07
163.142	1.46946e-07
168.875	6.36765e-07
174.809	1.57321e-07
180.953	1.27268e-07
187.312	4.81022e-07
193.894	1.07448e-07
200.708	4.84578e-07
207.761	1.22626e-06
215.063	1.39791e-07
222.62	1.61502e-07
230.444	3.36795e-07
238.542	1.67236e-07
246.925	8.04444e-07
255.602	2.49826e-07
264.585	1.91628e-07
273.883	2.22985e-07
283.508	1.56349e-07
293.471	4.28769e-07
303.784	1.65185e-07
314.46	2.48098e-07
325.51	1.47827e-07
336.949	3.05276e-07
348.791	1.69298e-07
361.048	3.02681e-07
373.736	1.73464e-07
386.87	4.08274e-07
400.465	1.49396e-06
414.538	1.2531e-07
429.106	3.79612e-07
444.186	6.82412e-07
459.796	1.63815e-07
475.954	5.80507e-07
492.68	1.22847e-06
509.994	2.62321e-07
527.916	2.23212e-07
546.468	2.28121e-07
565.672	1.43715e-07
585.551	1.70407e-07
606.129	3.04333e-07
627.429	1.37967e-07
649.478	1.41595e-07
672.303	5.86231e-07
695.929	1.60723e-07
720.385	1.83241e-07
745.701	2.16627e-07
771.907	8.84799e-07
799.033	1.49652e-07
827.113	1.86125e-07
856.179	1.56429e-07
886.267	2.11203e-07
917.413	6.73095e-07
949.653	5.94993e-07
983.025	1.67988e-07
1017.57	1.4945e-07
1053.33	1.98024e-07
1090.35	4.12459e-07
1128.66	1.98132e-07
1168.33	1.37386e-07
1209.39	2.44613e-07
1251.89	1.71293e-07
1295.88	1.7645e-07
1341.42	6.76751e-07
1388.56	1.66298e-07
1437.36	7.152e-07
1487.87	1.58262e-07
1540.16	7.18763e-07
1594.28	1.4721e-07
1650.31	1.57793e-07
1708.3	1.91999e-07
1768.34	1.7795e-07
1830.48	5.80388e-07
1894.81	2.19952e-07
1961.39	9.41564e-07
2030.32	1.75974e-07
2101.67	2.05689e-07
2175.53	1.89408e-07
2251.98	1.97231e-07
2331.12	1.29561e-07
2413.04	7.9191e-07
2497.84	1.61256e-07
2585.62	1.69875e-07
2676.48	6.88786e-07
2770.54	1.41471e-07
2867.9	2.06921e-07
2968.69	1.54641e-07
3073.02	3.84603e-07
3181.01	1.38639e-07
3292.8	1.64937e-07
3408.51	1.27522e-07
3528.29	1.40383e-07
3652.29	1.5274e-07
3780.64	1.5444e-07
3913.49	1.70104e-07
4051.02	1.71652e-07
4193.39	1.8012e-07
4340.75	1.66184e-07
4493.29	1.48031e-07
4651.2	1.75189e-07
4814.65	2.35894e-07
4983.85	1.47903e-07
5158.99	1.39074e-07
5340.29	1.37786e-07
5527.96	1.99558e-07
5722.22	1.702e-07
5923.31	1.60302e-07
6131.47	1.57268e-07
6346.95	1.98843e-07
6569.99	1.85774e-07
6800.87	1.84672e-07
7039.87	1.61799e-07
7287.27	1.52663e-07
7543.36	1.84823e-07
7808.45	2.13487e-07
8082.85	2.22519e-07
8366.9	1.6961e-07
8660.93	1.70633e-07
8965.3	1.77461e-07
9280.36	1.76861e-07
9606.49	1.49763e-07
9944.08	1.89818e-07
10293.5	1.87749e-07
10655.3	2.02681e-07
11029.7	1.52815e-07
11417.3	1.67767e-07
11818.6	1.45136e-07
12233.9	1.93758e-07
12663.8	1.52932e-07
13108.9	1.92367e-07
13569.5	2.21268e-07
14046.4	1.77756e-07
14540	1.8401e-07
15051	1.99881e-07
15579.9	1.71117e-07
16127.4	1.44161e-07
16694.2	1.68929e-07
17280.8	1.88615e-07
17888.1	2.29431e-07
18516.7	1.94293e-07
19167.5	1.87016e-07
19841.1	1.6845e-07
20538.3	1.57869e-07
21260.1	1.30789e-07
22007.2	1.86503e-07
22780.6	1.64566e-07
23581.1	1.44272e-07
24409.8	1.58438e-07
25267.6	1.65047e-07
26155.6	2.10997e-07
27074.8	1.78339e-07
28026.2	2.03238e-07
29011.1	1.9041e-07
30030.7	1.71356e-07
31086	1.40655e-07
32178.4	1.7985e-07
33309.2	2.1442e-07
34479.8	1.59253e-07
35691.5	1.55413e-07
36945.8	1.82344e-07
38244.1	1.76742e-07
39588.1	1.81659e-07
40979.3	2.09817e-07
42419.4	1.7367e-07
43910.1	1.71667e-07
45453.2	1.52227e-07
47050.6	2.01098e-07
48704	1.68205e-07
50415.6	1.53904e-07
52187.3	1.65563e-07
54021.3	1.27259e-07
55919.7	1.74711e-07
57884.8	1.64853e-07
59919	1.64029e-07
62024.7	1.96268e-07
64204.4	1.69919e-07
66460.7	1.83215e-07
68796.2	1.52566e-07
71213.9	1.7962e-07
73716.5	1.69664e-07
76307.1	1.43312e-07
78988.7	1.60649e-07
81764.5	1.74748e-07
84637.9	1.49891e-07
87612.2	1.43179e-07
90691.1	1.70357e-07
93878.2	1.84037e-07
97177.3	1.16753e-07
100592	1.46853e-07
104127	1.73464e-07
107787	1.6307e-07
111574	1.89948e-07
115495	1.68943e-07
119554	2.03561e-07
123756	1.85774e-07
128105	1.9105e-07
132606	2.02138e-07
137267	1.69197e-07
142090	1.55022e-07
147084	1.70467e-07
152253	1.58933e-07
157603	2.09111e-07
163142	1.26651e-07
168875	1.85172e-07
174809	1.84996e-07
180953	1.80475e-07
187312	1.51107e-07
193894	1.93234e-07
200708	1.95302e-07
207761	2.04957e-07
215063	1.85188e-07
222620	1.6718e-07
230444	2.02939e-07
238542	1.99865e-07
246925	1.91586e-07
255602	1.72069e-07
264585	1.75514e-07
273883	2.10686e-07
283508	1.92731e-07
293471	1.68648e-07
303784	1.41207e-07
314460	1.91174e-07
325510	1.99085e-07
336949	1.92459e-07
348791	1.77521e-07
361048	1.87533e-07
373736	1.78535e-07
386870	2.23567e-07
400465	1.75983e-07
414538	1.86202e-07
429106	1.69254e-07
444186	1.57722e-07
459796	1.95772e-07
475954	2.07729e-07
492680	1.6158e-07
509994	1.89659e-07
527916	1.90498e-07
546468	1.7641e-07
565672	1.81926e-07
585551	1.68528e-07
606129	1.5779e-07
627429	1.57264e-07
649478	1.77208e-07
672303	1.98224e-07
695929	1.53517e-07
720385	1.98159e-07
745701	1.88106e-07
771907	1.85e-07
799033	1.4605e-07
827113	2.02834e-07
856179	1.93647e-07
886267	1.80573e-07
917413	1.73259e-07
949653	2.35356e-07
983025	1.68207e-07
