Fluence to dose conversion factor calculated on a slab of Tissue with size 10x10x0.5 mm^3 for primary neutron
E [MeV]	c [microGy*cm^2]
0.104839	7.0959e-06
0.107034	7.27537e-06
0.109276	6.98612e-06
0.111564	7.44004e-06
0.1139	7.42731e-06
0.116285	7.46983e-06
0.11872	7.83534e-06
0.121206	7.82103e-06
0.123744	7.7072e-06
0.126335	8.04335e-06
0.12898	8.0132e-06
0.131681	8.20895e-06
0.134438	8.23636e-06
0.137253	8.52865e-06
0.140127	8.58323e-06
0.143062	8.6012e-06
0.146057	8.75823e-06
0.149116	8.75898e-06
0.152238	9.06884e-06
0.155426	9.00678e-06
0.15868	9.39327e-06
0.162003	9.48332e-06
0.165395	9.11236e-06
0.168859	9.55452e-06
0.172394	9.31372e-06
0.176004	9.29332e-06
0.17969	9.85168e-06
0.183452	9.73265e-06
0.187294	9.97659e-06
0.191216	1.01023e-05
0.19522	9.95141e-06
0.199307	1.06235e-05
0.203481	1.00706e-05
0.207742	1.04554e-05
0.212092	1.05965e-05
0.216533	1.09921e-05
0.221067	1.08078e-05
0.225696	1.12279e-05
0.230422	1.15147e-05
0.235247	1.13575e-05
0.240173	1.15589e-05
0.245202	1.17969e-05
0.250336	1.18849e-05
0.255578	1.22563e-05
0.26093	1.21172e-05
0.266393	1.31925e-05
0.271971	1.29237e-05
0.277666	1.27355e-05
0.283481	1.3427e-05
0.289417	1.32912e-05
0.295477	1.33672e-05
0.301664	1.28599e-05
0.307981	1.36734e-05
0.31443	1.34899e-05
0.321014	1.26367e-05
0.327735	1.37932e-05
0.334598	1.41318e-05
0.341604	1.41209e-05
0.348757	1.43239e-05
0.35606	1.42427e-05
0.363516	1.46789e-05
0.371128	1.47053e-05
0.378899	1.51608e-05
0.386833	1.5786e-05
0.394933	1.54291e-05
0.403203	1.54785e-05
0.411645	1.58029e-05
0.420265	1.68497e-05
0.429065	1.71429e-05
0.43805	1.76152e-05
0.447222	1.69296e-05
0.456587	1.62592e-05
0.466147	1.70221e-05
0.475908	1.57382e-05
0.485874	1.64238e-05
0.496048	1.72593e-05
0.506435	1.68219e-05
0.517039	1.64913e-05
0.527866	1.70474e-05
0.538919	1.72524e-05
0.550203	1.73165e-05
0.561724	1.79775e-05
0.573487	1.74634e-05
