E [MeV]	dEdx [keV/microm]
0.00537032	100.085
0.00540132	100.368
0.0054325	100.652
0.00546387	100.936
0.00549541	101.222
0.00552713	101.508
0.00555904	101.794
0.00559114	102.083
0.00562341	102.371
0.00565588	102.661
0.00568853	102.951
0.00572137	103.242
0.0057544	103.534
0.00578762	103.827
0.00582103	104.121
0.00585464	104.415
0.00588844	104.711
0.00592243	105.007
0.00595662	105.304
0.00599101	105.602
0.0060256	105.901
0.00606038	106.201
0.00609537	106.501
0.00613056	106.803
0.00616595	107.105
0.00620155	107.408
0.00623735	107.712
0.00627336	108.017
0.00630957	108.323
0.006346	108.63
0.00638263	108.938
0.00641948	109.246
0.00645654	109.556
0.00649382	109.866
0.00653131	110.177
0.00656901	110.489
0.00660693	110.802
0.00664508	111.116
0.00668344	111.431
0.00672202	111.747
0.00676083	112.063
0.00679986	112.381
0.00683912	112.699
0.0068786	113.019
0.00691831	113.339
0.00695825	113.66
0.00699842	113.983
0.00703882	114.306
0.00707946	114.63
0.00712033	114.955
0.00716143	115.281
0.00720278	115.608
0.00724436	115.936
0.00728618	116.265
0.00732825	116.594
0.00737055	116.925
0.0074131	117.257
0.0074559	117.59
0.00749894	117.923
0.00754223	118.258
0.00758578	118.594
0.00762957	118.93
0.00767361	119.268
0.00771792	119.606
0.00776247	119.945
0.00780728	120.286
0.00785236	120.627
0.00789769	120.97
0.00794328	121.313
0.00798914	121.658
0.00803526	122.003
0.00808165	122.349
0.00812831	122.697
0.00817523	123.046
0.00822243	123.395
0.0082699	123.745
0.00831764	124.097
0.00836566	124.45
0.00841395	124.803
0.00846253	125.158
0.00851138	125.513
0.00856052	125.87
0.00860994	126.228
0.00865964	126.587
0.00870964	126.946
0.00875992	127.307
0.00881049	127.669
0.00886135	128.032
0.00891251	128.396
0.00896396	128.761
0.00901571	129.127
0.00906776	129.494
0.00912011	129.863
0.00917276	130.232
0.00922571	130.603
0.00927897	130.974
0.00933254	131.347
0.00938642	131.72
0.00944061	132.095
0.00949511	132.471
0.00954993	132.848
0.00960506	133.226
0.00966051	133.605
0.00971628	133.985
0.00977237	134.367
0.00982879	134.749
0.00988553	135.133
0.0099426	135.518
0.01	135.903
0.0100577	136.29
0.0101158	136.678
0.0101742	137.068
0.0102329	137.458
0.010292	137.849
0.0103514	138.242
0.0104112	138.636
0.0104713	139.031
0.0105317	139.427
0.0105925	139.824
0.0106537	140.222
0.0107152	140.622
0.0107771	141.022
0.0108393	141.424
0.0109018	141.827
0.0109648	142.232
0.0110281	142.637
0.0110917	143.044
0.0111558	143.452
0.0112202	143.86
0.011285	144.27
0.0113501	144.682
0.0114156	145.094
0.0114815	145.508
0.0115478	145.923
0.0116145	146.34
0.0116815	146.757
0.011749	147.176
0.0118168	147.595
0.011885	148.016
0.0119536	148.439
0.0120226	148.824
0.0120921	149.148
0.0121619	149.473
0.0122321	149.799
0.0123027	150.126
0.0123737	150.455
0.0124451	150.784
0.012517	151.115
0.0125893	151.447
0.0126619	151.78
0.012735	152.115
0.0128086	152.45
0.0128825	152.787
0.0129569	153.124
0.0130317	153.464
0.0131069	153.804
0.0131826	154.145
0.0132587	154.488
0.0133352	154.831
0.0134122	155.176
0.0134896	155.522
0.0135675	155.869
0.0136458	156.218
0.0137246	156.567
0.0138038	156.918
0.0138835	157.27
0.0139637	157.623
0.0140443	157.911
0.0141254	158.148
0.0142069	158.387
0.0142889	158.626
0.0143714	158.867
0.0144544	159.109
0.0145378	159.351
0.0146218	159.595
0.0147062	159.84
0.0147911	160.086
0.0148765	160.333
0.0149624	160.581
0.0150487	160.83
0.0151356	161.081
0.015223	161.332
0.0153109	161.584
0.0153993	161.837
0.0154882	162.091
0.0155776	162.347
0.0156675	162.603
0.015758	162.86
0.0158489	163.118
0.0159404	163.378
0.0160325	163.577
0.016125	163.704
0.0162181	163.831
0.0163117	163.96
0.0164059	164.09
0.0165006	164.22
0.0165959	164.352
0.0166917	164.484
0.016788	164.617
0.016885	164.751
0.0169824	164.886
0.0170805	165.021
0.0171791	165.157
0.0172783	165.295
0.017378	165.433
0.0174783	165.571
0.0175792	165.711
0.0176807	165.851
0.0177828	165.992
0.0178855	166.134
0.0179887	166.277
0.0180926	166.42
0.018197	166.564
0.0183021	166.709
0.0184077	166.854
0.018514	167.001
0.0186209	167.147
0.0187284	167.295
0.0188365	167.443
0.0189452	167.592
