E [MeV]	dEdx [keV/microm]
0.001	62.973
0.00100577	63.1545
0.00101158	63.3366
0.00101742	63.5191
0.00102329	63.7022
0.0010292	63.8858
0.00103514	64.07
0.00104112	64.2547
0.00104713	64.4398
0.00105317	64.6256
0.00105925	64.8119
0.00106537	64.9987
0.00107152	65.186
0.00107771	65.3739
0.00108393	65.5624
0.00109018	65.7513
0.00109648	65.9408
0.00110281	66.1309
0.00110917	66.3215
0.00111558	66.5127
0.00112202	66.7044
0.0011285	66.8967
0.00113501	67.0895
0.00114156	67.2829
0.00114815	67.4768
0.00115478	67.6713
0.00116145	67.8663
0.00116815	68.062
0.0011749	68.2581
0.00118168	68.4549
0.0011885	68.6522
0.00119536	68.8501
0.00120226	69.0485
0.00120921	69.2475
0.00121619	69.4472
0.00122321	69.6473
0.00123027	69.8481
0.00123737	70.0494
0.00124451	70.2513
0.0012517	70.4538
0.00125893	70.6569
0.00126619	70.8606
0.0012735	71.0648
0.00128086	71.2696
0.00128825	71.4751
0.00129569	71.6811
0.00130317	71.8877
0.00131069	72.0949
0.00131826	72.3027
0.00132587	72.5111
0.00133352	72.7201
0.00134122	72.9297
0.00134896	73.1399
0.00135675	73.3507
0.00136458	73.5622
0.00137246	73.7742
0.00138038	73.9868
0.00138835	74.2001
0.00139637	74.414
0.00140443	74.6285
0.00141254	74.8436
0.00142069	75.0593
0.00142889	75.2756
0.00143714	75.4926
0.00144544	75.7102
0.00145378	75.9284
0.00146218	76.1473
0.00147062	76.3668
0.00147911	76.5869
0.00148765	76.8076
0.00149624	77.029
0.00150487	77.2511
0.00151356	77.4737
0.0015223	77.697
0.00153109	77.921
0.00153993	78.1456
0.00154882	78.3709
0.00155776	78.5967
0.00156675	78.8233
0.0015758	79.0505
0.00158489	79.2783
0.00159404	79.5068
0.00160325	79.736
0.0016125	79.9658
0.00162181	80.1963
0.00163117	80.4275
0.00164059	80.6593
0.00165006	80.8918
0.00165959	81.125
0.00166917	81.3588
0.0016788	81.5933
0.0016885	81.8285
0.00169824	82.0643
0.00170805	82.3009
0.00171791	82.5381
0.00172783	82.776
