E [MeV]	dEdx [keV/microm]
0.00537032	75.1674
0.00540132	75.3848
0.0054325	75.6029
0.00546387	75.8215
0.00549541	76.0408
0.00552713	76.2608
0.00555904	76.4813
0.00559114	76.7026
0.00562341	76.9244
0.00565588	77.1469
0.00568853	77.37
0.00572137	77.5938
0.0057544	77.8182
0.00578762	78.0433
0.00582103	78.269
0.00585464	78.4954
0.00588844	78.7224
0.00592243	78.9501
0.00595662	79.1784
0.00599101	79.4074
0.0060256	79.637
0.00606038	79.8673
0.00609537	80.0983
0.00613056	80.3299
0.00616595	80.5622
0.00620155	80.7952
0.00623735	81.0288
0.00627336	81.2632
0.00630957	81.4982
0.006346	81.7338
0.00638263	81.9702
0.00641948	82.2072
0.00645654	82.445
0.00649382	82.6833
0.00653131	82.9224
0.00656901	83.1622
0.00660693	83.4027
0.00664508	83.6438
0.00668344	83.8857
0.00672202	84.1283
0.00676083	84.3715
0.00679986	84.6154
0.00683912	84.8601
0.0068786	85.1055
0.00691831	85.3515
0.00695825	85.5983
0.00699842	85.8458
0.00703882	86.094
0.00707946	86.3429
0.00712033	86.5926
0.00716143	86.8429
0.00720278	87.094
0.00724436	87.3458
0.00728618	87.5983
0.00732825	87.8516
0.00737055	88.1056
0.0074131	88.3603
0.0074559	88.6157
0.00749894	88.8719
0.00754223	89.1288
0.00758578	89.3865
0.00762957	89.6449
0.00767361	89.9041
0.00771792	90.164
0.00776247	90.4246
0.00780728	90.686
0.00785236	90.9482
0.00789769	91.2111
0.00794328	91.4748
0.00798914	91.7392
0.00803526	92.0044
0.00808165	92.2703
0.00812831	92.537
0.00817523	92.8046
0.00822243	93.0728
0.0082699	93.3418
0.00831764	93.6117
0.00836566	93.8822
0.00841395	94.1536
0.00846253	94.4258
0.00851138	94.6987
0.00856052	94.9724
0.00860994	95.2469
0.00865964	95.5222
0.00870964	95.7983
0.00875992	96.0752
0.00881049	96.3529
0.00886135	96.6314
0.00891251	96.9107
0.00896396	97.1908
0.00901571	97.4717
0.00906776	97.7534
0.00912011	98.0359
0.00917276	98.3193
0.00922571	98.6034
0.00927897	98.8884
0.00933254	99.1742
0.00938642	99.4609
0.00944061	99.7482
0.00949511	100.037
0.00954993	100.326
0.00960506	100.616
0.00966051	100.906
0.00971628	101.198
0.00977237	101.491
0.00982879	101.784
0.00988553	102.078
0.0099426	102.373
0.01	102.669
0.0100577	102.965
0.0101158	103.263
0.0101742	103.561
0.0102329	103.861
0.010292	104.161
0.0103514	104.462
0.0104112	104.764
0.0104713	105.153
0.0105317	105.457
0.0105925	105.85
0.0106537	106.155
0.0107152	106.461
0.0107771	106.858
0.0108393	107.166
0.0109018	107.475
0.0109648	107.785
0.0110281	108.095
0.0110917	108.407
0.0111558	108.72
0.0112202	109.033
0.011285	109.347
0.0113501	109.662
0.0114156	109.979
0.0114815	110.295
0.0115478	110.613
0.0116145	110.932
0.0116815	111.252
0.011749	111.572
0.0118168	111.894
0.011885	112.217
0.0119536	112.54
0.0120226	112.864
0.0120921	113.19
0.0121619	113.516
0.0122321	113.843
0.0123027	114.171
0.0123737	114.501
0.0124451	114.83
0.012517	115.161
0.0125893	115.494
0.0126619	115.826
0.012735	116.16
0.0128086	116.495
0.0128825	116.831
0.0129569	117.167
0.0130317	117.505
0.0131069	117.844
0.0131826	118.183
0.0132587	118.524
0.0133352	118.866
0.0134122	119.208
0.0134896	119.552
0.0135675	119.897
0.0136458	120.242
0.0137246	120.589
0.0138038	120.936
0.0138835	121.285
0.0139637	121.634
0.0140443	121.985
0.0141254	122.337
0.0142069	122.689
0.0142889	123.043
0.0143714	123.398
0.0144544	123.753
0.0145378	124.11
0.0146218	124.468
0.0147062	124.826
0.0147911	125.186
0.0148765	125.547
0.0149624	125.909
0.0150487	126.272
0.0151356	126.636
0.015223	127.001
0.0153109	127.367
0.0153993	127.734
0.0154882	128.102
0.0155776	128.472
0.0156675	128.842
0.015758	129.213
0.0158489	129.586
0.0159404	129.959
0.0160325	130.334
0.016125	130.71
0.0162181	131.086
0.0163117	131.464
0.0164059	131.843
0.0165006	132.223
0.0165959	132.604
0.0166917	132.987
0.016788	133.37
0.016885	133.754
0.0169824	134.14
0.0170805	134.526
0.0171791	134.914
0.0172783	135.303
0.017378	135.693
0.0174783	136.084
0.0175792	136.476
0.0176807	136.87
0.0177828	137.264
0.0178855	137.66
0.0179887	138.056
0.0180926	138.455
0.018197	138.853
0.0183021	139.254
0.0184077	139.655
0.018514	140.058
0.0186209	140.461
0.0187284	140.866
0.0188365	141.272
0.0189452	141.679
0.0190546	142.088
0.0191646	142.497
0.0192752	142.908
0.0193865	143.32
0.0194984	143.733
0.019611	144.148
0.0197242	144.563
0.0198381	144.98
0.0199526	145.398
0.0200678	145.817
0.0201837	146.237
0.0203002	146.659
0.0204174	147.081
0.0205353	147.505
0.0206538	147.93
0.020773	148.357
0.020893	148.784
0.0210136	149.213
0.0211349	149.643
0.0212569	150.075
0.0213796	150.507
0.021503	150.941
0.0216272	151.376
0.021752	151.812
0.0218776	152.25
0.0220039	152.689
0.0221309	153.129
0.0222587	153.57
0.0223872	154.013
0.0225165	154.457
0.0226464	154.902
0.0227772	155.348
0.0229087	155.796
0.0230409	156.245
0.0231739	156.696
0.0233077	157.147
0.0234423	157.6
0.0235776	158.055
0.0237137	158.51
0.0238506	158.967
0.0239883	159.425
0.0241268	159.885
0.0242661	160.346
0.0244062	160.808
0.0245471	161.271
0.0246888	161.736
0.0248313	162.202
0.0249747	162.67
0.0251189	163.139
0.0252639	163.609
0.0254097	164.081
0.0255564	164.554
0.025704	165.028
0.0258523	165.503
0.0260016	165.981
0.0261517	166.459
0.0263027	166.939
0.0264545	167.42
0.0266073	167.902
0.0267609	168.387
0.0269153	168.872
0.0270707	169.359
0.027227	169.847
0.0273842	170.336
0.0275423	170.827
0.0277013	171.32
0.0278612	171.814
0.0280221	172.309
0.0281838	172.805
0.0283465	173.303
0.0285102	173.803
0.0286748	174.304
0.0288403	174.806
0.0290068	175.31
0.0291743	175.815
0.0293427	176.322
0.0295121	176.83
0.0296825	177.34
0.0298538	177.851
0.0300262	178.364
0.0301995	178.878
0.0303739	179.394
0.0305492	179.911
0.0307256	180.429
0.030903	180.949
0.0310814	181.471
0.0312608	181.994
0.0314413	182.519
0.0316228	183.045
0.0318053	183.572
0.031989	184.102
0.0321736	184.632
0.0323594	185.164
0.0325462	185.698
0.0327341	186.233
0.032923	186.77
0.0331131	187.309
0.0333043	187.848
0.0334965	188.39
0.0336899	188.932
0.0338844	189.477
0.03408	190.023
0.0342768	190.571
0.0344747	191.12
0.0346737	191.671
0.0348739	192.224
0.0350752	192.778
0.0352777	193.333
0.0354813	193.891
0.0356862	194.449
0.0358922	195.01
0.0360994	195.572
0.0363078	196.136
0.0365174	196.701
0.0367282	197.268
0.0369403	197.837
0.0371535	198.407
0.037368	198.979
0.0375837	199.552
0.0378007	200.128
0.0380189	200.705
0.0382384	201.283
0.0384592	201.863
0.0386812	202.445
0.0389045	203.029
0.0391291	203.614
0.039355	204.201
0.0395822	204.789
0.0398107	205.379
0.0400405	205.972
0.0402717	206.565
0.0405042	207.16
0.040738	207.758
0.0409732	208.357
0.0412098	208.957
0.0414477	209.559
0.0416869	210.164
0.0419276	210.769
0.0421697	211.376
0.0424131	211.986
0.042658	212.597
0.0429042	213.21
0.0431519	213.824
0.043401	214.44
0.0436516	215.059
0.0439036	215.679
0.044157	216.3
0.044412	216.924
0.0446684	217.549
0.0449262	218.176
0.0451856	218.805
0.0454465	219.436
0.0457088	220.068
0.0459727	220.702
0.0462381	221.339
0.046505	221.976
0.0467735	222.617
0.0470435	223.258
0.0473151	223.902
0.0475883	224.547
0.047863	225.194
0.0481393	225.844
0.0484172	226.494
0.0486968	227.147
0.0489779	227.802
0.0492606	228.458
0.049545	229.117
0.049831	229.777
0.0501187	230.439
0.0504081	231.104
0.0506991	231.77
0.0509918	232.438
0.0512861	233.108
0.0515822	233.78
0.05188	234.454
0.0521795	235.129
0.0524807	235.807
0.0527837	236.487
0.0530884	237.169
0.0533949	237.852
0.0537032	238.538
0.0540132	239.225
0.054325	239.915
0.0546387	240.606
0.0549541	241.3
0.0552713	241.995
0.0555904	242.693
0.0559114	243.392
0.0562341	244.094
0.0565588	244.798
0.0568853	245.503
0.0572137	246.211
0.057544	246.921
0.0578762	247.632
0.0582103	248.346
0.0585464	249.062
0.0588844	249.78
0.0592243	250.5
0.0595662	251.222
0.0599101	251.946
0.060256	252.672
0.0606038	253.4
0.0609537	254.13
0.0613056	254.863
0.0616595	255.598
0.0620155	256.334
0.0623735	257.073
0.0627336	257.814
0.0630957	258.558
0.06346	259.303
0.0638263	260.05
0.0641948	260.8
0.0645654	261.551
0.0649382	262.305
0.0653131	263.061
0.0656901	263.82
0.0660693	264.58
0.0664508	265.343
0.0668344	266.107
0.0672202	266.875
0.0676083	267.644
0.0679986	268.415
0.0683912	269.189
0.068786	269.965
0.0691831	270.743
0.0695825	271.523
0.0699842	272.306
